,cell_index,name,age,X,signal_level,dz/dt,time_win_left,time_win_right,mortality,status
5372,463,23-09-AH,59.5,1.7805568596108288,0.3097335017730976,0.009581122962255557,56,63,79,1
5373,463,23-09-AH,66.5,4.722875262971075,0.3775918027617852,0.02084647684098269,63,70,79,1
5374,463,23-09-AH,73.5,16.982192540020954,0.5195611757692918,0.054476076260818095,70,77,79,1
5375,464,23-09-AT,17.5,0.5093611481509559,0.06055122184909507,0.014020117530146044,14,21,95,1
5376,464,23-09-AT,24.5,0.16481299345928774,0.06080713605097631,0.004517369839649533,21,28,95,1
5377,464,23-09-AT,31.5,0.6468928289036318,0.06779600221609797,0.015902924650376824,28,35,95,1
5378,464,23-09-AT,38.5,0.5219876688027738,0.07246934997973396,0.012004791656719875,35,42,95,1
5379,464,23-09-AT,45.5,1.3313801723715823,0.08640484716034742,0.02568104715045381,42,49,95,1
5380,464,23-09-AT,52.5,0.6736374279378775,0.10115450050026617,0.011099150715100163,49,56,95,1
5381,464,23-09-AT,59.5,-0.06985107831574895,0.10071020579733655,-0.0011559748382786092,56,63,95,1
5382,464,23-09-AT,66.5,0.2585200456721631,0.1054550407783338,0.00408578612844709,63,70,95,1
5383,464,23-09-AT,73.5,2.9181375474378464,0.1170015934069033,0.04156834481859389,70,77,95,1
5384,464,23-09-AT,80.5,10.871902537751428,0.2108751970490364,0.08592683168284368,77,84,95,1
5385,464,23-09-AT,87.5,19.405020334836394,0.44065091680858376,0.07339528711819227,84,91,95,1
5386,465,23-11-AH,3.5,2.6559420246153818,0.04372727622840665,0.10123132339420661,0,7,69,1
5387,465,23-11-AH,10.5,0.2342015547337993,0.06039633830412082,0.006462907115176877,7,14,69,1
5388,465,23-11-AH,17.5,0.5931806721197236,0.0682121098309855,0.014493532834308891,14,21,69,1
5389,465,23-11-AH,24.5,0.08585433976131493,0.06967342636770037,0.002053732301232038,21,28,69,1
5390,465,23-11-AH,31.5,-1.3041519434724538,0.06812399960649804,-0.031906326478323234,28,35,69,1
5391,465,23-11-AH,38.5,-0.10938133306454216,0.052359444645424635,-0.0034817447551015457,35,42,69,1
5392,465,23-11-AH,45.5,0.609461907054838,0.059511802238813326,0.017068376471195426,42,49,69,1
5393,465,23-11-AH,52.5,0.44310789171112236,0.06602068134095103,0.011186088023508305,49,56,69,1
5394,465,23-11-AH,59.5,-0.4173187440956844,0.06386309615028132,-0.010890972754010615,56,63,69,1
5395,465,23-11-AH,66.5,27.78307353479224,0.16788169067973913,0.27581996804119285,63,70,69,1
5396,466,23-11-ATH,3.5,5.845727087553052,0.07675988884364748,0.12692668822254802,0,7,69,1
5397,466,23-11-ATH,10.5,1.1168990587617114,0.1162331100456423,0.016015216581046033,7,14,69,1
5398,466,23-11-ATH,17.5,1.1411425442282368,0.1364340900582903,0.013940095467106664,14,21,69,1
5399,466,23-11-ATH,24.5,0.7536056747019876,0.14204529758014836,0.00884231635424572,21,28,69,1
5400,466,23-11-ATH,31.5,-2.350124589134481,0.14231739169673077,-0.02752210582646668,28,35,69,1
5401,466,23-11-ATH,38.5,-0.7364682161205495,0.11003599383081275,-0.011154959246833898,35,42,69,1
5402,466,23-11-ATH,45.5,5.068800701860528,0.13738799978507812,0.061490095080961316,42,49,69,1
5403,466,23-11-ATH,52.5,5.199572461403779,0.2158722194948908,0.040143906069139826,49,56,69,1
5404,466,23-11-ATH,59.5,4.619148940019994,0.2780393878335505,0.027688816418013334,56,63,69,1
5405,466,23-11-ATH,66.5,25.654977344941305,0.49162940311027753,0.08697261657743251,63,70,69,1
5406,467,23-13-A,3.5,4.887523352445711,0.04891295915135858,0.16653811986449668,0,7,79,1
5407,467,23-13-A,10.5,1.7068476647667403,0.08387233929271086,0.033917572014016746,7,14,79,1
5408,467,23-13-A,17.5,1.035101425702602,0.1048424263354186,0.016454875217389562,14,21,79,1
5409,467,23-13-A,24.5,0.6351427054584465,0.11110261334526851,0.009527869272295193,21,28,79,1
5410,467,23-13-A,31.5,0.7873640502293204,0.12419920741344606,0.010565875937359628,28,35,79,1
5411,467,23-13-A,38.5,0.4398064856953051,0.1272578719329377,0.005760042961259457,35,42,79,1
5412,467,23-13-A,45.5,2.5144102114084923,0.1463703213167237,0.02863069267035905,42,49,79,1
5413,467,23-13-A,52.5,2.6848489439898446,0.19064249917227852,0.02347193442916086,49,56,79,1
5414,467,23-13-A,59.5,6.613532763206878,0.22875646429454619,0.048184669400870725,56,63,79,1
5415,467,23-13-A,66.5,17.934425660006266,0.45244514537176655,0.06606482518180869,63,70,79,1
5416,468,23-13-B,3.5,4.524353260441538,0.053732829478899916,0.14033485376688828,0,7,72,1
5417,468,23-13-B,10.5,0.5305736748277108,0.08375096823637988,0.010558558028252927,7,14,72,1
5418,468,23-13-B,17.5,1.5893173677689991,0.09990688989243326,0.02651330936702112,14,21,72,1
5419,468,23-13-B,24.5,1.077594641841322,0.11116725607536838,0.0161557560485068,21,28,72,1
5420,468,23-13-B,31.5,1.1615622393881924,0.12878923550703278,0.015031823568370135,28,35,72,1
5421,468,23-13-B,38.5,0.6469501950864153,0.13916256828533088,0.007748134706261265,35,42,72,1
5422,468,23-13-B,45.5,1.3982895579914933,0.152601987628625,0.015271639857824093,42,49,72,1
5423,468,23-13-B,52.5,0.3716249733787779,0.1705483559120151,0.0036316677010409205,49,56,72,1
5424,468,23-13-B,59.5,1.47730832123045,0.17348244592121922,0.01419267824078405,56,63,72,1
5425,468,23-13-B,66.5,21.976157113047236,0.3217846327351134,0.11382435578238423,63,70,72,1
5426,469,23-15-AH,3.5,5.317746201673663,0.059537869042751414,0.1488617325178152,0,7,84,1
5427,469,23-15-AH,10.5,2.197255153462465,0.100211323979101,0.0365436936368705,7,14,84,1
5428,469,23-15-AH,17.5,6.384947176325349,0.16045151711255784,0.06632270494359847,14,21,84,1
5429,469,23-15-AH,24.5,2.150456242897965,0.2154763471229086,0.016633351112634618,21,28,84,1
5430,469,23-15-AH,31.5,-0.6790460367690673,0.23345003449955873,-0.004847904165194078,28,35,84,1
5431,469,23-15-AH,38.5,0.23287181333286328,0.212766772318651,0.0018241555514450184,35,42,84,1
5432,469,23-15-AH,45.5,-0.0034613484080989,0.22406458523446213,-2.5746656962596527e-05,42,49,84,1
5433,469,23-15-AH,52.5,-0.4465517063717612,0.21999393243164586,-0.0033830607768429322,49,56,84,1
5434,469,23-15-AH,59.5,7.840982748746719,0.27499674602860796,0.04752166987417747,56,63,84,1
5435,469,23-15-AH,66.5,12.090734759841583,0.43024587631060746,0.04683653164217243,63,70,84,1
5436,469,23-15-AH,73.5,10.306424075642282,0.6111556205551548,0.02810638220720348,70,77,84,1
5437,470,23-15-AT,3.5,6.480286177519957,0.06971557949834944,0.1549219993615483,0,7,83,1
5438,470,23-15-AT,10.5,1.8210043499158919,0.11196834737469838,0.027105939500055923,7,14,83,1
5439,470,23-15-AT,17.5,2.9499397879736238,0.14808484587792087,0.033201009084633304,14,21,83,1
5440,470,23-15-AT,24.5,0.11614187273979794,0.16636410054305698,0.0011635309977801678,21,28,83,1
5441,470,23-15-AT,31.5,-0.18310272580359874,0.16724844849865345,-0.001824657940998009,28,35,83,1
5442,470,23-15-AT,38.5,-1.5616356987729523,0.14845790391744704,-0.01753174533616536,35,42,83,1
5443,470,23-15-AT,45.5,-0.8405180129338057,0.13669150864364546,-0.010248356820332745,42,49,83,1
5444,470,23-15-AT,52.5,0.0658852645150668,0.13336945364493893,0.0008233427609602043,49,56,83,1
5445,470,23-15-AT,59.5,0.3787649493725963,0.13178677979689543,0.004790123232344623,56,63,83,1
5446,470,23-15-AT,66.5,7.045211300137811,0.172144508670762,0.0682102433834844,63,70,83,1
5447,470,23-15-AT,73.5,15.585651225983776,0.3522386328116825,0.07374570236458768,70,77,83,1
